id_siniestro,valor_real,valor_predicho,probabilidad_fatal
LC-2019-0585482,0,0,0.03416191857165373
LC-2022-0304756,0,0,0.3479694935234528
LC-2019-0420616,0,0,0.004749218301499277
LC-2022-0351036,0,0,0.12649087554468613
LC-2023-0418200,0,0,0.006631699175118062
LC-2023-0464134,0,0,0.12351343685432288
LC-2022-0314302,0,0,0.012623766771105167
LC-2022-0221010,0,0,0.1865650234007856
LC-2025-0790056,0,0,0.07450740105649481
LC-2020-0485530,0,0,0.5688129140480066
LC-2019-0442447,0,0,0.031640042190476454
LC-2025-0810207,0,0,0.14395020427043334
LC-2025-0601569,0,0,0.07822597310112561
LC-2022-0011294,0,0,0.11859499720276062
LC-2021-0610039,0,0,0.03166581048526871
LC-2024-0092557,0,0,0.01953979913524027
LC-2022-0072472,0,0,0.12322455224827657
LC-2024-0319028,0,0,0.008949860825506964
LC-2025-0367763,0,0,0.08679954511524532
LC-2025-0376569,0,0,0.18855392215364858
LC-2019-0791703,0,0,0.024486636300185577
LC-2022-0338986,0,0,0.25974838244823084
LC-2023-0070653,0,0,0.42144296996769315
LC-2019-0487505,0,0,0.08205911422674025
LC-2024-0515967,0,0,0.3652486585721033
LC-2021-0551664,0,0,0.01608946994599661
LC-2025-0490811,0,0,0.09449650420549098
LC-2022-0208197,0,0,0.04879037903269591
LC-2022-0146819,0,0,0.1313116942818254
LC-2022-0671740,0,0,7.342177634956852e-05
LC-2020-0150125,0,0,0.7213649361560784
LC-2022-0125481,0,0,0.07917609964251592
LC-2024-0517804,0,0,0.04475663535700745
LC-2024-0593768,0,0,0.15023995074901184
LC-2025-0682656,0,0,0.008767342246937055
LC-2021-0443786,0,0,0.028390212779353018
LC-2024-0662888,0,0,0.3871190118233359
LC-2025-0436240,0,0,0.189160343375258
LC-2025-0259589,0,0,0.008990885795301148
LC-2020-0656273,0,0,0.012240240684787575
LC-2022-0699841,0,0,0.22024661692612754
LC-2024-0396508,0,0,0.06937232060456909
LC-2025-0937787,0,0,0.14342203505511208
HC-2023-0186788,1,0,0.14030418104154566
LC-2021-0288939,0,0,0.1718220451212811
LC-2019-0643575,0,0,0.0412996386671984
LC-2020-0165828,0,0,0.011358217257242873
LC-2025-0471901,0,0,0.09229663794937729
LC-2019-0496114,0,0,0.017884197812859444
LC-2021-0524022,0,1,0.00907130698913235
LC-2019-0152785,0,0,0.006270324374065711
LC-2023-0571374,0,0,0.002296583234287832
LC-2019-0039419,0,1,0.025184699728788812
LC-2021-0198494,0,0,0.09552794141792177
LC-2023-0504874,0,0,0.03404351371848863
LC-2024-0740845,0,0,0.07205175842674595
LC-2024-0008387,0,0,0.11885149362961084
LC-2020-0573048,0,0,0.1962161504797145
LC-2019-0064378,0,0,0.01847591229056346
LC-2022-0274163,0,0,0.03599882177704679
LC-2020-0067093,0,0,0.05429104097834338
LC-2025-0538810,0,0,0.0729313317671089
LC-2024-0598267,0,0,0.09089366450344953
LC-2024-0385742,0,0,0.07101843515409462
LC-2020-0076833,0,1,0.0032516038849031066
LC-2022-0176435,0,0,0.19392857607060546
LC-2021-0102114,0,0,0.142682111007697
LC-2023-0588878,0,0,0.1957170143023676
LC-2024-0358510,0,0,0.01632853379834247
LC-2021-0324362,0,0,0.18629816660721032
LC-2025-0502630,0,0,0.30181314432836887
LC-2022-0250611,0,0,0.12414723732150187
LC-2019-0225084,0,0,0.02740695310771146
LC-2024-0556510,0,0,0.0004974535177467124
LC-2021-0079643,0,0,0.14719666564372097
LC-2021-0182807,0,0,0.37061725863271205
LC-2025-0449917,0,0,0.004149149590898755
LC-2023-0221065,0,0,0.0014330753674875957
LC-2024-0689335,0,0,0.1366304741260517
LC-2021-0532910,0,0,0.4022065837748072
LC-2021-0345864,0,0,0.15642138058751243
LC-2021-0647410,0,0,0.0030127856754782125
LC-2021-0553445,0,0,0.08972763779421129
LC-2024-0251819,0,0,0.0006384404814127712
LC-2024-0596059,0,0,0.03040705058618809
LC-2023-0332750,0,0,0.03624503644500424
LC-2025-0254820,0,0,0.005591507581543456
LC-2022-0498047,0,0,0.003946096439583066
LC-2024-0623477,0,0,0.05349656885027405
LC-2023-0205362,0,0,0.05361420262966024
LC-2025-0526486,0,0,0.20240376524050877
LC-2025-0905854,0,0,0.3381230170548305
LC-2023-0580627,0,1,0.07944235551061761
LC-2025-0216942,0,0,0.17245789782846324
LC-2021-0637825,0,0,0.004102516993369767
LC-2019-0260243,0,0,0.056931732684968914
LC-2025-0609933,0,0,0.04353807357020479
LC-2020-0034507,0,0,0.15557815885730647
LC-2025-0129498,0,0,0.2516997421107894
LC-2025-0911752,0,0,0.1831395175788904
